,a,b,c,kinfty,R0,n,tau,rho
0,0.41163451537574064,0.677062676283261,3.2481925682578065e-05,12497.519359058779,1.6448151235938928,18787.8645593258,0.6651910502971632,4.797476927968879e-05
1,0.10000175980277397,0.9988801953134948,0.010940099795199828,12.552926968711336,9.988626173014474,12.553443890540528,0.999958822309344,0.010952364304075844
2,0.13515168205142838,0.9733632137106717,0.0019538073045797404,34.814556568315616,7.202005916140091,34.84027954062545,0.9992616886934031,0.0020072746504682494
3,0.10001307815128388,0.9999823949537723,0.024021304501624926,10.641073167804622,9.998516328446145,10.641453835718426,0.9999642278282949,0.024021727405246364
4,0.3619727263072491,0.735974898570066,0.009752031137059556,41.519119542530035,2.033233017521207,51.006581519082744,0.8139953375820094,0.013250494216592017
5,0.1041314432015002,0.9999899748914575,0.007097023586512503,14.505004131936717,9.603151019009895,14.505919538126557,0.9999368943011552,0.007097094735657564
6,0.19286110704336437,0.9999899841738696,0.011887262716136727,14.304192977991175,5.185026672842981,14.382071595481593,0.9945850208731484,0.011887381778085761
7,0.46706734581129883,0.9390324087805852,0.02281420457357619,18.294355373358233,2.010486104845288,22.447123758190585,0.8149977507333395,0.024295438964883447
8,0.10001189558288986,0.8423813064082556,0.01177279430438775,15.769331769049685,8.422811121603928,15.772418588945554,0.9998042900092677,0.013975612011838888
9,0.11149700198910883,0.9113377263621437,0.037400542196441906,10.671561100257543,8.173652296508962,10.673716762936046,0.9997980401085789,0.041039168153102254
10,1.0,0.2457628426561599,0.02977560522142618,9.439196711422898,0.2457628426561599,245.36040769534335,0.03847074106244258,0.12115584642339289
11,1.0,0.2457628426561599,0.02977560522142618,9.091795578719672,0.2457628426561599,236.33013889601474,0.03847074106244258,0.12115584642339289
12,1.0,0.2457628426561599,0.02977560522142618,9.439196711422898,0.2457628426561599,245.36040769534335,0.03847074106244258,0.12115584642339289
13,1.0,0.2457628426561599,0.02977560522142618,9.439196711422898,0.2457628426561599,245.36040769534335,0.03847074106244258,0.12115584642339289
14,1.0,0.2457628426561599,0.02977560522142618,9.999260350764471,0.2457628426561599,259.918579019169,0.03847074106244258,0.12115584642339289
15,0.10000259215011087,0.9999892373613862,0.014492427248989997,11.689456311774691,9.99963316811161,11.689915783074417,0.9999606950718677,0.014492583227425854
16,0.10000240189609404,0.9999680203024022,0.0064705956919463474,14.89161922025042,9.99944002686459,14.89225359080998,0.9999574026485855,0.0064708026262575505
17,0.10000241242490635,0.9999899835826092,0.01180621867203865,12.282543196303353,9.999658601571438,12.28303911684983,0.9999596255827439,0.011806336929237191
18,0.10000259967387629,0.9999892061226211,0.01440891835014996,11.704619609908741,9.999632103402694,11.70508006223369,0.9999606621806514,0.014409073879926564
19,0.10000241285142758,0.9999899818116881,0.011645732868080023,12.326487929827968,9.999658541213016,12.326986424426716,0.9999595607083853,0.011645849538393751
20,1.0,0.6217662176377498,0.06287387356432979,9.99670033053302,0.6217662176377498,72.26715918833357,0.13832978136695367,0.1011214050888835
21,1.0,0.6217662176377498,0.06287387356432979,12.028519803357947,0.6217662176377498,86.95538794678889,0.13832978136695367,0.1011214050888835
22,1.0,0.6217662176377498,0.06287387356432979,12.028519803357947,0.6217662176377498,86.95538794678889,0.13832978136695367,0.1011214050888835
23,1.0,0.6217662176377498,0.06287387356432979,9.99670033053302,0.6217662176377498,72.26715918833357,0.13832978136695367,0.1011214050888835
24,1.0,0.6217662176377498,0.06287387356432979,9.602099878745834,0.6217662176377498,69.41455255592365,0.13832978136695367,0.1011214050888835
25,0.14111410589256593,0.9961270515106225,0.0016340950386315681,37.4407360400486,7.059018269009915,37.47277030553218,0.9991451321793827,0.0016404484108261791
26,0.10492096501877912,0.9986481421515543,3.008767447323189e-06,12524.96237890529,9.518099094616721,12525.883765892817,0.9999264413589692,3.012840379235973e-06
27,0.10530039241520302,0.9999865124962981,0.004557100374571894,17.52867118223926,9.49651268680289,17.529933006997563,0.9999280188488,0.004557161839309072
28,0.10053260328335364,0.9998536786573096,0.002567357991770778,23.619678528488027,9.945566373519615,23.620782863412717,0.9999532473190632,0.0025677337060143134
29,0.21579252413133646,0.9681917687157162,2.350604514840368e-05,3159.647038971813,4.486678918155903,3197.611106947792,0.9881273654906031,2.4278294763426775e-05
30,0.10007613669998638,0.5424660807081559,0.02408863592058217,20.855363497083115,5.4205337915310405,20.929573666255347,0.9964542914081485,0.04440579195133444
31,0.10044979875022055,0.9999898874156801,0.016366765526929464,11.39541011347301,9.95512086492343,11.39587005884519,0.9999596392930241,0.016366931038899652
32,0.10044979875022055,0.9999898874156801,0.016366765526929464,11.39541011347301,9.95512086492343,11.39587005884519,0.9999596392930241,0.016366931038899652
33,0.10044979875022055,0.9999898874156801,0.016366765526929464,14.58799064771719,9.95512086492343,14.58857945309769,0.9999596392930241,0.016366931038899652
34,0.10044979875022055,0.9999898874156801,0.016366765526929464,11.39541011347301,9.95512086492343,11.39587005884519,0.9999596392930241,0.016366931038899652
35,0.1000130498675353,0.9999813657562046,0.011815136382409913,12.2804640259225,9.998508865399605,12.280960395115526,0.9999595822169394,0.011815356552644445
36,0.10007630923695228,0.9999874718644993,0.015765669714325643,11.478896849754168,9.992249709137583,11.479345688846331,0.9999609002895872,0.0157658672312466
37,0.10000272688659827,0.9999894640814618,0.007978875595222349,13.803929799164061,9.999621962463447,13.80450892326415,0.9999580481925646,0.007978959660891355
38,0.10007614533849203,0.999987498772672,0.01594658984542082,11.451498875616114,9.992266342697048,11.451945826759273,0.9999609715981964,0.015946789199857758
